E2-T07 real-HTTP authorization matrix
http case=follow.outsider.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.outsider.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.reader.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.reader.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=dispatch.reader.public status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.reader.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"grant:read"}
http case=follow.reader.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"grant:read"}
http case=dispatch.reader.private status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.reader.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.reader.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.reader.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
